SIO2,TIO2,AL2O3,CR2O3,FEOT,CAO,MGO,MNO,K2O,NA2O,P2O5,H20,F,CL,NIO,CUO,COO,ZNO,PBO,S,ZRO2,AS,MINERAL,GROUP
51.44,0.13,5.28,0.13,12.93,12.66,14.31,0.18,0.13,0.51,0.0,2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTINOLITE,AMPHIBOLES
49.6,0.33,9.11,0.45,10.34,11.7,17.5,0.5,0.0,1.15,0.02,2.0,0.43,0.04,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTINOLITE,AMPHIBOLES
54.67,0.22,3.07,0.26,12.86,12.11,13.97,0.36,0.08,0.31,0.03,1.54,0.41,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.15,0.0,ACTINOLITE,AMPHIBOLES
51.02,0.74,4.93,0.03,12.97,11.56,14.6,0.79,0.51,1.15,0.01,2.07,0.08,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTINOLITE,AMPHIBOLES
52.67,0.54,3.34,0.13,9.54,12.53,18.26,0.2,0.21,0.43,0.0,2.05,0.12,0.03,0.05,0.0,0.0,0.0,0.0,0.0,0.19,0.0,ACTINOLITE,AMPHIBOLES
51.36,0.62,4.61,0.17,13.56,12.41,14.57,0.2,0.09,0.71,0.02,2.02,0.09,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTINOLITE,AMPHIBOLES
52.71,0.01,1.29,0.02,15.7,12.33,13.48,0.23,0.03,0.23,0.01,2.08,0.09,0.01,0.12,0.0,0.0,0.0,0.0,0.0,0.09,0.0,ACTINOLITE,AMPHIBOLES
53.2,0.08,3.86,0.0,14.4,12.69,14.61,0.23,0.21,0.27,0.0,2.13,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,ACTINOLITE,AMPHIBOLES
52.39,0.08,3.55,0.01,15.87,12.04,13.27,0.34,0.11,0.31,0.01,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,ACTINOLITE,AMPHIBOLES
52.5,0.35,2.52,0.01,17.8,11.5,10.8,0.58,0.26,0.88,0.0,2.01,0.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,ACTINOLITE,AMPHIBOLES
53.51,0.25,1.91,0.02,10.44,12.06,18.09,0.57,0.14,0.55,0.03,2.04,0.24,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.0,ACTINOLITE,AMPHIBOLES
55.07,0.12,1.64,0.04,6.77,13.14,19.78,0.1,0.24,0.48,0.25,2.03,0.15,0.02,0.06,0.0,0.0,0.0,0.0,0.0,0.04,0.0,ACTINOLITE,AMPHIBOLES
51.38,0.19,3.33,0.03,15.68,12.29,13.75,0.38,0.26,0.48,0.02,2.06,0.1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,ACTINOLITE,AMPHIBOLES
54.39,0.19,1.64,0.0,12.65,12.46,15.95,0.41,0.03,0.22,0.02,2.25,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,ACTINOLITE,AMPHIBOLES
55.88,0.11,3.21,0.42,6.82,12.45,18.78,0.25,0.03,0.29,0.01,2.16,0.16,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTINOLITE,AMPHIBOLES
54.15,0.31,2.82,0.06,9.01,12.22,18.53,0.18,0.04,0.37,0.03,2.07,0.21,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.09,0.0,ACTINOLITE,AMPHIBOLES
50.92,0.36,3.38,0.02,15.44,11.76,14.08,0.53,0.2,0.57,0.0,2.03,0.1,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.0,ACTINOLITE,AMPHIBOLES
51.49,0.22,3.74,0.0,12.31,13.02,14.75,0.43,0.3,0.62,0.0,2.03,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.0,ACTINOLITE,AMPHIBOLES
53.33,0.31,4.6,0.34,7.85,11.79,18.49,0.17,0.09,0.73,0.0,2.13,0.17,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.07,0.0,ACTINOLITE,AMPHIBOLES
50.59,0.5,2.75,0.23,17.87,11.12,12.95,0.48,0.25,0.69,0.02,1.85,0.18,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.12,0.0,ACTINOLITE,AMPHIBOLES
52.28,0.0,1.6,0.09,11.98,11.55,16.23,0.33,0.0,0.14,0.0,2.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTINOLITE,AMPHIBOLES
47.78,0.13,1.69,0.0,29.53,8.83,4.48,1.18,0.22,0.21,0.0,1.44,0.05,0.16,0.03,0.0,0.0,0.0,0.0,0.0,0.15,0.0,ACTINOLITE,AMPHIBOLES
54.68,0.13,2.02,0.14,8.67,12.69,18.39,0.07,0.04,0.51,0.01,2.04,0.16,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.04,0.0,ACTINOLITE,AMPHIBOLES
53.21,0.3,2.83,0.29,9.1,11.85,18.7,0.26,0.24,0.58,0.0,2.04,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,1.33,0.0,ACTINOLITE,AMPHIBOLES
44.93,1.55,0.49,10.98,11.31,11.98,15.61,0.1,0.26,1.7,0.03,2.08,0.82,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.07,0.0,ACTINOLITE,AMPHIBOLES
52.64,0.22,4.01,0.09,9.23,12.23,16.66,0.07,0.08,0.2,0.02,2.03,0.62,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,ACTINOLITE,AMPHIBOLES
49.43,0.11,6.35,0.23,18.82,18.33,9.02,0.51,0.0,1.17,0.18,2.07,0.21,0.08,0.03,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,ACTINOLITE,AMPHIBOLES
49.27,0.46,4.5,0.07,15.12,12.01,13.78,0.47,0.42,0.78,0.0,1.99,0.19,0.11,0.02,0.0,0.0,0.0,0.0,0.0,0.04,0.0,ACTINOLITE,AMPHIBOLES
55.98,0.07,2.23,0.2,8.43,12.1,18.28,0.16,0.04,0.35,0.02,2.46,0.0,0.01,0.18,0.0,0.0,0.0,0.0,0.0,0.13,0.0,ACTINOLITE,AMPHIBOLES
56.18,0.02,0.98,0.0,11.36,11.37,16.09,0.17,0.05,0.14,0.0,2.49,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.07,0.0,ACTINOLITE,AMPHIBOLES
52.46,0.63,4.47,0.06,12.85,11.68,13.92,0.4,0.39,1.12,0.11,1.77,0.22,0.07,0.16,0.0,0.0,0.0,0.0,0.0,0.13,0.0,ACTINOLITE,AMPHIBOLES
50.57,0.15,4.12,0.04,10.47,11.6,16.66,0.59,0.4,0.64,0.0,2.07,1.13,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.04,0.0,ACTINOLITE,AMPHIBOLES
50.43,0.0,4.09,0.0,14.55,11.24,14.38,0.41,0.06,0.37,0.01,2.03,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTINOLITE,AMPHIBOLES
53.18,0.09,3.32,0.08,12.84,11.81,14.87,0.53,0.19,0.26,0.01,2.02,0.04,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.1,0.0,ACTINOLITE,AMPHIBOLES
53.21,0.26,1.92,0.26,10.22,11.56,19.11,0.31,0.21,0.63,0.0,2.01,0.21,0.03,0.06,0.0,0.0,0.0,0.0,0.0,0.04,0.0,ACTINOLITE,AMPHIBOLES
54.2,0.26,1.4,0.0,13.4,11.73,15.99,0.45,0.14,0.71,0.01,2.04,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.08,0.0,ACTINOLITE,AMPHIBOLES
51.14,0.83,4.09,0.02,14.97,11.81,14.44,0.33,0.34,0.64,0.01,2.01,0.22,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTINOLITE,AMPHIBOLES
53.98,0.43,4.04,0.04,13.85,10.37,13.82,0.42,0.3,0.77,0.0,1.58,0.34,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,ACTINOLITE,AMPHIBOLES
52.84,0.24,3.72,0.27,13.63,12.12,13.65,0.3,0.12,0.47,0.02,2.13,0.07,0.05,0.08,0.0,0.0,0.0,0.0,0.0,0.06,0.0,ACTINOLITE,AMPHIBOLES
51.28,0.7,4.42,0.11,14.08,12.19,14.52,0.25,0.18,0.68,0.02,2.02,0.14,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTINOLITE,AMPHIBOLES
53.18,0.93,3.12,0.0,20.45,0.3,19.5,0.27,1.17,3.6,0.46,0.7,1.64,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.81,0.0,ANTHOPHYLLITE,AMPHIBOLES
58.14,0.59,2.47,0.0,19.71,0.35,6.65,0.66,0.14,3.33,0.14,1.9,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,ANTHOPHYLLITE,AMPHIBOLES
56.87,0.76,2.2,0.07,19.75,0.41,6.61,0.67,0.13,3.27,0.25,1.7,1.59,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.22,0.0,ANTHOPHYLLITE,AMPHIBOLES
55.76,0.13,0.94,0.01,23.77,0.27,5.49,0.77,0.05,3.3,0.0,1.94,0.97,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ANTHOPHYLLITE,AMPHIBOLES
36.76,0.04,0.0,0.02,31.94,0.02,31.72,0.46,0.0,0.01,0.0,2.05,0.0,0.01,0.21,0.0,0.0,0.0,0.0,0.0,0.21,0.0,ANTHOPHYLLITE,AMPHIBOLES
56.55,0.0,0.0,0.0,17.07,0.48,22.99,0.0,0.0,0.0,0.75,2.22,0.28,0.04,0.16,0.0,0.0,0.0,0.0,0.0,0.18,0.0,ANTHOPHYLLITE,AMPHIBOLES
56.45,0.43,2.69,0.04,19.12,0.34,7.01,0.5,0.17,3.24,0.17,1.96,1.76,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.21,0.0,ANTHOPHYLLITE,AMPHIBOLES
36.68,0.01,0.0,0.02,31.75,0.04,31.82,0.44,0.01,0.0,0.0,3.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.14,0.0,ANTHOPHYLLITE,AMPHIBOLES
55.7,0.03,0.8,0.05,17.83,2.94,19.28,1.1,0.0,0.07,0.15,1.96,0.08,0.01,0.1,0.0,0.0,0.0,0.0,0.0,0.35,0.0,ANTHOPHYLLITE,AMPHIBOLES
56.5,0.0,0.07,0.03,14.37,1.64,24.39,0.51,0.04,0.03,0.0,1.98,0.15,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.15,0.0,ANTHOPHYLLITE,AMPHIBOLES
56.4,0.09,0.95,0.02,16.25,0.83,22.95,0.53,0.01,0.07,0.14,2.19,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,ANTHOPHYLLITE,AMPHIBOLES
56.45,0.08,1.09,0.01,16.62,1.01,22.45,0.54,0.0,0.12,0.08,2.2,0.23,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,ANTHOPHYLLITE,AMPHIBOLES
55.21,0.94,2.01,0.0,21.65,0.94,5.21,0.72,0.11,3.11,0.04,1.87,1.45,0.01,0.12,0.0,0.0,0.0,0.0,0.0,1.24,0.0,ANTHOPHYLLITE,AMPHIBOLES
56.76,0.84,2.12,0.03,21.65,0.34,5.62,0.58,0.12,2.81,0.07,1.61,2.46,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.2,0.0,ANTHOPHYLLITE,AMPHIBOLES
50.02,0.93,5.32,0.13,16.61,6.12,18.42,0.34,0.06,0.77,0.06,2.02,0.29,0.08,0.11,0.0,0.0,0.0,0.0,0.0,0.08,0.0,ANTHOPHYLLITE,AMPHIBOLES
56.31,1.11,1.73,0.25,20.66,0.41,5.17,0.76,0.11,3.15,0.07,2.02,1.26,0.02,0.09,0.0,0.0,0.0,0.0,0.0,0.21,0.0,ANTHOPHYLLITE,AMPHIBOLES
36.57,0.03,0.0,0.0,32.25,0.02,31.6,0.49,0.0,0.0,0.01,2.7,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.23,0.0,ANTHOPHYLLITE,AMPHIBOLES
56.38,0.08,0.95,0.0,17.24,0.93,22.23,0.52,0.01,0.11,0.05,3.0,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,ANTHOPHYLLITE,AMPHIBOLES
55.36,0.03,2.77,0.15,20.63,0.15,6.84,0.36,0.04,2.78,0.04,2.09,2.01,0.08,0.07,0.0,0.0,0.0,0.0,0.0,2.33,0.0,ANTHOPHYLLITE,AMPHIBOLES
36.8,0.03,0.01,0.01,31.57,0.08,31.93,0.4,0.0,0.0,0.29,1.96,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.2,0.0,ANTHOPHYLLITE,AMPHIBOLES
37.07,0.01,0.02,0.0,31.09,0.0,32.38,0.45,0.0,0.0,0.01,2.06,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.56,0.0,ANTHOPHYLLITE,AMPHIBOLES
56.08,0.06,0.94,0.01,17.03,0.72,22.35,0.5,0.0,0.11,0.08,2.19,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,ANTHOPHYLLITE,AMPHIBOLES
37.23,0.03,0.02,0.03,29.17,0.14,33.69,0.37,0.0,0.02,0.0,2.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.2,0.0,ANTHOPHYLLITE,AMPHIBOLES
42.6,0.03,3.0,0.18,6.3,0.17,35.7,0.1,0.87,1.29,0.14,1.41,0.61,0.04,0.11,0.0,0.0,0.0,0.0,0.0,0.66,0.0,ANTHOPHYLLITE,AMPHIBOLES
54.87,0.12,1.96,0.07,23.36,0.58,7.19,0.4,0.09,2.53,0.08,2.05,1.49,0.01,0.16,0.0,0.0,0.0,0.0,0.0,0.07,0.0,ANTHOPHYLLITE,AMPHIBOLES
55.16,1.04,1.74,0.07,23.31,0.54,6.44,0.24,0.18,2.63,0.12,1.7,1.77,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.14,0.0,ANTHOPHYLLITE,AMPHIBOLES
56.56,0.0,0.13,0.04,13.17,0.77,24.33,0.62,0.02,0.04,0.01,2.43,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.19,0.0,ANTHOPHYLLITE,AMPHIBOLES
54.84,0.02,3.23,0.05,14.16,2.36,23.3,0.23,0.02,0.22,0.36,2.21,0.0,0.02,0.15,0.0,0.0,0.0,0.0,0.0,0.35,0.0,ANTHOPHYLLITE,AMPHIBOLES
55.77,0.85,1.98,0.17,21.28,0.39,5.24,0.84,0.15,3.2,0.27,1.72,1.53,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.27,0.0,ANTHOPHYLLITE,AMPHIBOLES
57.02,0.75,2.42,0.1,19.4,0.42,6.83,0.48,0.12,2.93,0.04,1.87,1.47,0.01,0.06,0.0,0.0,0.0,0.0,0.0,0.77,0.0,ANTHOPHYLLITE,AMPHIBOLES
52.21,0.58,4.69,0.0,18.88,0.0,20.84,0.28,2.07,2.1,0.05,1.26,2.59,0.1,0.06,0.0,0.0,0.0,0.0,0.0,0.23,0.0,ANTHOPHYLLITE,AMPHIBOLES
56.48,0.09,0.96,0.0,16.43,0.79,22.87,0.5,0.0,0.07,0.1,2.35,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,ANTHOPHYLLITE,AMPHIBOLES
36.63,0.02,0.0,0.0,31.58,0.0,31.8,0.5,0.0,0.0,0.0,1.98,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.1,0.0,ANTHOPHYLLITE,AMPHIBOLES
56.31,0.75,3.89,0.0,21.08,0.29,5.42,0.57,0.18,3.3,0.46,1.1,2.71,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.78,0.0,ANTHOPHYLLITE,AMPHIBOLES
36.93,0.01,0.0,0.0,30.41,0.01,32.78,0.47,0.01,0.0,0.01,1.96,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.23,0.0,ANTHOPHYLLITE,AMPHIBOLES
55.63,1.28,1.62,0.04,19.44,0.22,6.5,0.56,0.18,3.02,0.05,2.07,1.43,0.02,0.07,0.0,0.0,0.0,0.0,0.0,0.14,0.0,ANTHOPHYLLITE,AMPHIBOLES
56.33,0.07,0.94,0.0,16.76,0.85,22.45,0.53,0.0,0.13,0.15,2.15,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,ANTHOPHYLLITE,AMPHIBOLES
54.98,0.0,0.99,0.01,14.88,0.51,22.79,1.31,0.0,0.0,0.17,2.02,0.17,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.14,0.0,ANTHOPHYLLITE,AMPHIBOLES
39.63,0.03,0.01,0.18,13.99,0.2,45.68,0.24,0.03,0.0,0.83,1.98,0.21,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.26,0.0,ANTHOPHYLLITE,AMPHIBOLES
55.91,0.0,0.43,0.0,17.82,1.46,19.95,0.72,0.0,0.0,0.17,2.0,0.19,0.01,0.07,0.0,0.0,0.0,0.0,0.0,1.64,0.0,ANTHOPHYLLITE,AMPHIBOLES
55.07,0.34,1.81,0.03,21.64,0.52,6.67,1.82,0.53,2.97,0.21,1.43,1.35,0.01,0.11,0.0,0.0,0.0,0.0,0.0,0.13,0.0,ANTHOPHYLLITE,AMPHIBOLES
52.74,0.88,3.85,0.22,19.93,0.32,19.1,0.18,0.47,2.86,0.05,2.06,0.27,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.34,0.0,ANTHOPHYLLITE,AMPHIBOLES
55.91,0.07,1.08,0.0,18.42,0.65,21.43,0.55,0.01,0.09,0.04,2.22,0.14,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,ANTHOPHYLLITE,AMPHIBOLES
56.43,1.16,2.15,0.12,21.62,0.4,4.76,0.94,0.14,3.09,0.09,2.03,1.14,0.01,0.11,0.0,0.0,0.0,0.0,0.0,0.33,0.0,ANTHOPHYLLITE,AMPHIBOLES
56.12,0.07,0.94,0.01,16.98,0.72,22.4,0.5,0.0,0.11,0.08,2.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,ANTHOPHYLLITE,AMPHIBOLES
55.76,0.02,0.68,0.03,17.83,2.47,19.5,0.97,0.0,0.04,0.16,1.97,0.12,0.01,0.09,0.0,0.0,0.0,0.0,0.0,0.77,0.0,ANTHOPHYLLITE,AMPHIBOLES
56.35,0.07,0.94,0.0,16.62,0.84,22.59,0.53,0.0,0.11,0.15,2.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,ANTHOPHYLLITE,AMPHIBOLES
56.66,0.94,2.13,0.06,21.64,0.36,5.35,0.69,0.13,2.9,0.08,1.74,2.05,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.24,0.0,ANTHOPHYLLITE,AMPHIBOLES
52.72,0.87,3.89,0.21,19.88,0.31,19.18,0.18,0.54,2.83,0.05,2.03,0.37,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.34,0.0,ANTHOPHYLLITE,AMPHIBOLES
55.8,1.1,1.84,0.04,19.38,0.25,6.61,0.55,0.18,3.07,0.08,2.05,1.5,0.02,0.07,0.0,0.0,0.0,0.0,0.0,0.16,0.0,ANTHOPHYLLITE,AMPHIBOLES
48.8,0.05,0.99,0.0,33.2,1.38,0.18,1.38,1.66,7.07,0.68,1.54,1.09,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,ARFVEDSONITE,AMPHIBOLES
57.2,0.6,0.0,0.0,7.95,2.48,18.12,0.0,2.15,8.03,0.44,0.87,2.15,0.01,0.05,0.0,0.0,0.0,0.0,0.0,3.49,0.0,ARFVEDSONITE,AMPHIBOLES
50.57,1.06,0.56,0.01,32.23,0.53,0.17,0.84,1.68,9.12,0.75,0.58,2.46,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,ARFVEDSONITE,AMPHIBOLES
41.75,5.07,0.56,0.05,40.36,0.18,1.25,2.56,0.65,7.43,0.01,1.78,1.22,0.1,0.02,0.0,0.0,0.0,0.0,0.0,0.2,0.0,ARFVEDSONITE,AMPHIBOLES
54.82,1.21,0.13,0.03,14.33,0.0,13.44,0.18,5.34,7.67,0.61,0.86,2.81,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.15,0.0,ARFVEDSONITE,AMPHIBOLES
50.9,4.7,1.7,0.0,14.4,2.4,11.1,0.17,2.3,7.7,0.13,0.92,2.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,ARFVEDSONITE,AMPHIBOLES
49.26,0.58,0.15,0.0,34.04,2.79,0.08,1.64,1.42,6.87,0.03,1.1,2.11,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.94,0.0,ARFVEDSONITE,AMPHIBOLES
52.9,0.3,1.2,0.01,14.6,4.8,12.6,0.9,2.3,6.1,0.0,0.89,1.98,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.25,0.0,ARFVEDSONITE,AMPHIBOLES
50.45,3.74,0.0,0.16,20.77,1.12,8.94,0.52,4.89,7.31,0.44,0.75,1.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,ARFVEDSONITE,AMPHIBOLES
48.64,0.23,0.2,0.0,36.82,3.01,0.16,1.04,1.52,6.84,0.82,1.22,2.54,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.55,0.0,ARFVEDSONITE,AMPHIBOLES
50.43,0.7,0.28,0.0,32.78,0.13,0.12,0.56,1.68,9.37,0.0,0.9,2.58,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.11,0.0,ARFVEDSONITE,AMPHIBOLES
55.2,0.28,0.21,0.08,17.64,0.07,13.65,0.0,0.66,8.55,0.03,1.46,1.25,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.37,0.0,ARFVEDSONITE,AMPHIBOLES
50.92,1.11,0.38,0.0,32.28,0.89,0.08,1.47,1.64,8.28,0.75,0.46,2.17,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,ARFVEDSONITE,AMPHIBOLES
48.31,1.11,0.49,0.0,35.51,1.93,0.03,2.49,1.55,7.42,0.0,1.11,1.9,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,ARFVEDSONITE,AMPHIBOLES
50.19,0.76,0.46,0.03,32.64,0.17,0.08,0.52,1.55,9.43,0.19,0.7,2.16,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,ARFVEDSONITE,AMPHIBOLES
49.81,0.81,0.33,0.0,34.27,0.95,0.01,0.73,1.37,8.13,0.61,1.67,1.93,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.21,0.0,ARFVEDSONITE,AMPHIBOLES
50.96,1.06,0.55,0.0,32.63,0.55,0.39,0.81,1.55,9.48,0.26,0.74,1.83,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,ARFVEDSONITE,AMPHIBOLES
49.05,4.87,0.81,0.06,21.94,2.47,7.85,0.18,3.48,6.75,0.04,1.58,0.78,0.0,0.01,0.0,0.0,1.0,0.0,0.0,0.14,0.0,ARFVEDSONITE,AMPHIBOLES
56.45,0.0,0.28,0.08,12.0,2.59,17.71,0.34,0.7,8.28,0.3,1.36,1.79,0.02,0.07,0.0,0.0,0.0,0.0,0.0,0.79,0.0,ARFVEDSONITE,AMPHIBOLES
50.89,2.73,0.54,0.01,24.47,3.12,6.18,3.26,1.23,7.89,0.44,0.46,2.06,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.14,0.0,ARFVEDSONITE,AMPHIBOLES
50.37,0.35,0.34,0.0,34.84,1.09,0.3,1.48,1.31,7.92,0.5,1.19,2.7,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.32,0.0,ARFVEDSONITE,AMPHIBOLES
52.86,1.55,0.01,0.02,17.69,0.11,9.99,1.66,5.27,7.41,0.03,1.19,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,ARFVEDSONITE,AMPHIBOLES
49.11,4.15,0.59,0.05,27.81,1.16,4.13,0.18,3.47,7.41,0.0,1.69,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,ARFVEDSONITE,AMPHIBOLES
55.29,1.86,0.21,0.28,14.14,2.56,14.02,0.25,2.0,7.74,0.1,1.21,1.43,0.02,0.11,0.0,0.0,0.0,0.0,0.0,0.09,0.0,ARFVEDSONITE,AMPHIBOLES
48.41,1.28,0.73,0.0,33.25,3.76,0.66,0.89,1.27,6.7,0.46,1.49,0.95,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,ARFVEDSONITE,AMPHIBOLES
50.27,1.23,0.48,0.0,32.46,0.51,0.22,0.85,1.5,9.28,0.34,1.51,2.1,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.12,0.0,ARFVEDSONITE,AMPHIBOLES
